index,Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Provider Phone Number,Provider SSA County Code,Provider County Name,Ownership Type,Number of Certified Beds,Number of Residents in Certified Beds,Provider Type,Provider Resides in Hospital,Legal Business Name,Date First Approved to Provide Medicare and Medicaid services,Continuing Care Retirement Community,Special Focus Facility,Most Recent Health Inspection More Than 2 Years Ago,Provider Changed Ownership in Last 12 Months,With a Resident and Family Council,Automatic Sprinkler Systems in All Required Areas,Overall Rating,Overall Rating Footnote,Health Inspection Rating,Health Inspection Rating Footnote,QM Rating,QM Rating Footnote,Staffing Rating,Staffing Rating Footnote,RN Staffing Rating,RN Staffing Rating Footnote,Reported Staffing Footnote,Physical Therapist Staffing Footnote,Reported CNA Staffing Hours per Resident per Day,Reported LPN Staffing Hours per Resident per Day,Reported RN Staffing Hours per Resident per Day,Reported Licensed Staffing Hours per Resident per Day,Reported Total Nurse Staffing Hours per Resident per Day,Reported Physical Therapist Staffing Hours per Resident Per Day,Expected CNA Staffing Hours per Resident per Day,Expected LPN Staffing Hours per Resident per Day,Expected RN Staffing Hours per Resident per Day,Expected Total Nurse Staffing Hours per Resident per Day,Adjusted CNA Staffing Hours per Resident per Day,Adjusted LPN Staffing Hours per Resident per Day,Adjusted RN Staffing Hours per Resident per Day,Adjusted Total Nurse Staffing Hours per Resident per Day,Cycle 1 Total Number of Health Deficiencies,Cycle 1 Number of Standard Health Deficiencies,Cycle 1 Number of Complaint Health Deficiencies,Cycle 1 Health Deficiency Score,Cycle 1 Standard Survey Health Date,Cycle 1 Number of Health Revisits,Cycle 1 Health Revisit Score,Cycle 1 Total Health Score,Cycle 2 Total Number of Health Deficiencies,Cycle 2 Number of Standard Health Deficiencies,Cycle 2 Number of Complaint Health Deficiencies,Cycle 2 Health Deficiency Score,Cycle 2 Standard Health Survey Date,Cycle 2 Number of Health Revisits,Cycle 2 Health Revisit Score,Cycle 2 Total Health Score,Cycle 3 Total Number of Health Deficiencies,Cycle 3 Number of Standard Health Deficiencies,Cycle 3 Number of Complaint Health Deficiencies,Cycle 3 Health Deficiency Score,Cycle 3 Standard Health Survey Date,Cycle 3 Number of Health Revisits,Cycle 3 Health Revisit Score,Cycle 3 Total Health Score,Total Weighted Health Survey Score,Number of Facility Reported Incidents,Number of Substantiated Complaints,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,Location,Processing Date
9384,335353,HERITAGE VILLAGE REHAB AND SKILLED NURSING INC.,4570 ROUTE 60,GERRY,NY,14740,7169854612,60,Chautauqua,Non profit - Church related,120,118,Medicare and Medicaid,False,HERITAGE VILLAGE REHAB & SKILLED NURSING INC,08/01/1972,False,False,False,False,Resident,Yes,5.0,,4.0,,5.0,,3.0,,3.0,,,,2.28178,0.72966,0.61356,1.34322,3.625,0.0,2.6288,0.61545,0.99955,4.2438,2.12979,0.98402,0.45866,3.44314,5.0,5.0,0.0,16.0,12/18/2015,1.0,0.0,16.0,1.0,1.0,0.0,4.0,09/19/2014,1.0,0.0,4.0,3.0,3.0,0.0,16.0,08/02/2013,1.0,0.0,16.0,12.0,2,0,0,$0.00,0,0,"4570 ROUTE
GERRY, NY 14740
(42.196098, -79.251972)",09/01/2016
9385,335392,CROWN CENTER FOR NURSING & REHABILITATION,28 KELLOGG ROAD,CORTLAND,NY,13045,6077539631,210,Cortland,For profit - Partnership,200,192,Medicare and Medicaid,False,CORTLAND ACQUISITION LLC,02/21/1973,False,False,False,False,Resident,Yes,1.0,,1.0,,1.0,,1.0,,1.0,,,,1.22786,0.41667,0.17656,0.59323,1.82109,0.05573,2.20491,0.63895,1.00741,3.85127,1.3664,0.54126,0.13096,1.90603,13.0,13.0,0.0,68.0,01/28/2016,1.0,0.0,68.0,18.0,18.0,3.0,84.0,04/10/2015,1.0,0.0,84.0,19.0,18.0,1.0,627.0,08/26/2014,2.0,314.0,941.0,218.833,0,4,0,$0.00,0,0,"28 KELLOGG ROAD
CORTLAND, NY 13045
(42.594894, -76.15955)",09/01/2016
9386,335322,HORNELL GARDENS,434 MONROE AVENUE,HORNELL,NY,14843,6073247740,690,Steuben,For profit - Corporation,114,99,Medicare and Medicaid,False,"HORNELL GARDENS, LLC",03/18/1971,False,False,False,False,Resident,Yes,2.0,,2.0,,1.0,,4.0,,4.0,,,,2.54747,0.88182,0.82929,1.71111,4.25858,0.05758,2.42774,0.62576,1.09243,4.14593,2.57471,1.16964,0.56722,4.14043,11.0,10.0,1.0,72.0,12/04/2015,1.0,0.0,72.0,9.0,7.0,4.0,36.0,02/12/2015,1.0,0.0,36.0,4.0,3.0,1.0,16.0,06/20/2014,1.0,0.0,16.0,50.667,3,3,0,$0.00,0,0,"434 MONROE AVENUE
HORNELL, NY 14843
(42.312542, -77.657649)",09/01/2016
9387,335382,"THE COMMONS ON ST ANTHONY STREET, A LORETTO S N F",3 ST ANTHONY STREET,AUBURN,NY,13021,3152530351,50,Cayuga,Non profit - Corporation,297,242,Medicare and Medicaid,False,AUBURN SENIOR SERVICES INC,10/17/1972,False,False,False,False,Both,Yes,2.0,,2.0,,1.0,,4.0,,3.0,,,,2.57169,1.22335,0.6343,1.85764,4.42934,0.07645,2.51857,0.63601,1.02024,4.17482,2.50545,1.59648,0.46455,4.27664,13.0,13.0,0.0,60.0,05/20/2016,1.0,0.0,60.0,5.0,5.0,0.0,24.0,03/23/2015,1.0,0.0,24.0,13.0,13.0,2.0,72.0,03/28/2014,1.0,0.0,72.0,50.0,0,2,0,$0.00,0,0,"3 ST ANTHONY STREET
AUBURN, NY 13021
(42.917898, -76.581597)",09/01/2016
9388,335339,MOUNTAINSIDE RESIDENTIAL CARE,42158 STATE HIGHWAY 28,MARGARETVILLE,NY,12455,8455861800,220,Delaware,Non profit - Corporation,82,77,Medicare and Medicaid,True,MARGARETVILLE NURSING HOME INC,11/14/1971,False,False,False,False,Both,Yes,5.0,,5.0,,5.0,,4.0,,5.0,,,,2.22792,0.69221,0.81169,1.5039,3.73182,0.05,2.4454,0.59503,0.77599,3.81642,2.23548,0.96555,0.78157,3.94154,1.0,1.0,0.0,0.0,08/20/2015,1.0,0.0,0.0,0.0,0.0,0.0,0.0,07/24/2014,0.0,0.0,0.0,2.0,2.0,0.0,12.0,08/22/2013,1.0,0.0,12.0,2.0,0,0,0,$0.00,0,0,"42158 STATE HIGHWAY
MARGARETVILLE, NY 12455
(42.147204, -74.640862)",09/01/2016
9389,335326,ELDERWOOD  AT WILLIAMSVILLE,200 BASSETT ROAD,WILLIAMSVILLE,NY,14221,7166896681,240,Erie,For profit - Corporation,200,180,Medicare and Medicaid,False,"200 BASSETT ROAD OPERATING COMPANY, LLC",05/09/1971,False,False,False,False,Resident,Yes,4.0,,4.0,,2.0,,3.0,,3.0,,,,2.45278,0.97222,0.90389,1.87611,4.32889,0.08028,2.70274,0.78604,1.32192,4.8107,2.22677,1.02659,0.51091,3.62719,2.0,2.0,0.0,0.0,07/21/2016,0.0,0.0,0.0,7.0,7.0,0.0,24.0,05/05/2015,1.0,0.0,24.0,3.0,3.0,0.0,12.0,03/07/2014,1.0,0.0,12.0,10.0,0,0,0,$0.00,0,0,"200 BASSETT ROAD
WILLIAMSVILLE, NY 14221
(42.996845, -78.730291)",09/01/2016
9390,335345,M M EWING CONTINUING CARE CTR,350 PARRISH STREET,CANANDAIGUA,NY,14424,5853966040,530,Ontario,Non profit - Corporation,190,179,Medicare and Medicaid,True,MM EWING CONTINUING CARE CENTER,11/22/1971,False,False,False,False,Resident,Yes,3.0,,3.0,,3.0,,3.0,,3.0,,,,2.58268,0.92793,0.6905,1.61844,4.20111,0.21536,2.60644,0.68815,1.06837,4.36296,2.43133,1.11921,0.48292,3.88137,4.0,4.0,0.0,16.0,07/03/2015,1.0,0.0,16.0,3.0,3.0,0.0,8.0,05/21/2014,1.0,0.0,8.0,4.0,3.0,1.0,24.0,07/23/2013,1.0,0.0,24.0,14.667,1,0,0,$0.00,0,0,"350 PARRISH STREET
CANANDAIGUA, NY 14424
(42.874946, -77.289875)",09/01/2016
9391,335371,ABSOLUT CTR FOR NURSING & REHAB ENDICOTT L L C,301 NANTUCKET DRIVE,ENDICOTT,NY,13760,6077542705,30,Broome,For profit - Corporation,160,135,Medicare and Medicaid,False,"ABSOLUT CENTER FOR NURSING AND REHABILITATION AT ENDICOTT, LLC",07/01/1972,False,False,False,False,Resident,Yes,1.0,,1.0,,1.0,,3.0,,3.0,,,,2.2863,1.0437,0.61148,1.65519,3.94148,0.11741,2.34408,0.64575,1.1472,4.13703,2.39322,1.3415,0.39827,3.84037,15.0,15.0,0.0,76.0,04/08/2016,1.0,0.0,76.0,18.0,16.0,7.0,112.0,02/06/2015,1.0,0.0,112.0,10.0,10.0,1.0,56.0,07/28/2014,1.0,0.0,56.0,84.667,0,9,0,$0.00,0,0,"301 NANTUCKET DRIVE
ENDICOTT, NY 13760
(42.113316, -76.057447)",09/01/2016
9392,335361,CLIFTON SPRINGS HOSPITAL & CLINIC EXTENDED CARE,2 COULTER ROAD,CLIFTON SPRINGS,NY,14432,3154620557,530,Ontario,Non profit - Corporation,108,104,Medicare and Medicaid,True,CLIFTON SPRINGS SANITARIUM CO,01/10/1972,False,False,False,False,Resident,Yes,4.0,,3.0,,4.0,,4.0,,5.0,,,,2.5,1.18654,0.97019,2.15673,4.65673,0.10865,2.63383,0.65689,0.98288,4.27361,2.32902,1.49922,0.73755,4.39227,4.0,2.0,2.0,16.0,07/31/2015,1.0,0.0,16.0,1.0,1.0,0.0,8.0,09/05/2014,1.0,0.0,8.0,6.0,6.0,0.0,28.0,08/21/2013,1.0,0.0,28.0,15.333,1,0,0,$0.00,0,0,"2 COULTER ROAD
CLIFTON SPRINGS, NY 14432
(42.960473, -77.139252)",09/01/2016
9393,335338,JAMES SQUARE NURSING AND  REHAB CENTRE,918 JAMES STREET,SYRACUSE,NY,13203,3154741561,520,Onondaga,For profit - Individual,455,391,Medicare and Medicaid,False,"RIVER MEADOWS, LLC",11/14/1971,False,False,False,False,Both,Yes,1.0,,1.0,,1.0,,2.0,,2.0,,,,2.54271,0.74015,0.57852,1.31867,3.86138,0.15013,2.53176,0.71302,1.34188,4.58666,2.46431,0.86158,0.32214,3.3935,19.0,19.0,5.0,120.0,10/29/2015,3.0,84.0,204.0,27.0,23.0,8.0,152.0,10/25/2014,1.0,0.0,152.0,18.0,12.0,7.0,120.0,12/20/2013,1.0,0.0,120.0,172.667,4,14,0,$0.00,0,0,"918 JAMES STREET
SYRACUSE, NY 13203
(43.057667, -76.137655)",09/01/2016
