index,Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Provider Phone Number,Provider SSA County Code,Provider County Name,Ownership Type,Number of Certified Beds,Number of Residents in Certified Beds,Provider Type,Provider Resides in Hospital,Legal Business Name,Date First Approved to Provide Medicare and Medicaid services,Continuing Care Retirement Community,Special Focus Facility,Most Recent Health Inspection More Than 2 Years Ago,Provider Changed Ownership in Last 12 Months,With a Resident and Family Council,Automatic Sprinkler Systems in All Required Areas,Overall Rating,Overall Rating Footnote,Health Inspection Rating,Health Inspection Rating Footnote,QM Rating,QM Rating Footnote,Staffing Rating,Staffing Rating Footnote,RN Staffing Rating,RN Staffing Rating Footnote,Reported Staffing Footnote,Physical Therapist Staffing Footnote,Reported CNA Staffing Hours per Resident per Day,Reported LPN Staffing Hours per Resident per Day,Reported RN Staffing Hours per Resident per Day,Reported Licensed Staffing Hours per Resident per Day,Reported Total Nurse Staffing Hours per Resident per Day,Reported Physical Therapist Staffing Hours per Resident Per Day,Expected CNA Staffing Hours per Resident per Day,Expected LPN Staffing Hours per Resident per Day,Expected RN Staffing Hours per Resident per Day,Expected Total Nurse Staffing Hours per Resident per Day,Adjusted CNA Staffing Hours per Resident per Day,Adjusted LPN Staffing Hours per Resident per Day,Adjusted RN Staffing Hours per Resident per Day,Adjusted Total Nurse Staffing Hours per Resident per Day,Cycle 1 Total Number of Health Deficiencies,Cycle 1 Number of Standard Health Deficiencies,Cycle 1 Number of Complaint Health Deficiencies,Cycle 1 Health Deficiency Score,Cycle 1 Standard Survey Health Date,Cycle 1 Number of Health Revisits,Cycle 1 Health Revisit Score,Cycle 1 Total Health Score,Cycle 2 Total Number of Health Deficiencies,Cycle 2 Number of Standard Health Deficiencies,Cycle 2 Number of Complaint Health Deficiencies,Cycle 2 Health Deficiency Score,Cycle 2 Standard Health Survey Date,Cycle 2 Number of Health Revisits,Cycle 2 Health Revisit Score,Cycle 2 Total Health Score,Cycle 3 Total Number of Health Deficiencies,Cycle 3 Number of Standard Health Deficiencies,Cycle 3 Number of Complaint Health Deficiencies,Cycle 3 Health Deficiency Score,Cycle 3 Standard Health Survey Date,Cycle 3 Number of Health Revisits,Cycle 3 Health Revisit Score,Cycle 3 Total Health Score,Total Weighted Health Survey Score,Number of Facility Reported Incidents,Number of Substantiated Complaints,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,Location,Processing Date
1878,045365,DEWITT NURSING HOME,1605 SOUTH MADISON ST,DE WITT,AR,72042,8709463571,0,Arkansas,Non profit - Corporation,60,47,Medicare and Medicaid,True,DEWITT HOSPITAL & NURSING HOME INC,03/20/2001,False,False,False,False,Resident,Yes,2.0,,1.0,,2.0,,4.0,,4.0,,,,3.20957,0.46809,0.44894,0.91702,4.1266,0.00426,1.96786,0.52528,0.65071,3.14385,4.00198,0.73964,0.51551,5.29094,16.0,16.0,0.0,128.0,11/13/2015,1.0,0.0,128.0,6.0,2.0,4.0,157.0,09/19/2014,1.0,0.0,157.0,7.0,7.0,0.0,111.0,08/09/2013,2.0,56.0,167.0,144.167,0,6,2,$5200.00,1,3,"1605 SOUTH MADISON ST
DE WITT, AR 72042
(34.279794, -91.338966)",09/01/2016
1879,055364,VISTA COVE CARE CENTER AT LONG BEACH,3401 CEDAR AVENUE,LONG BEACH,CA,90807,5624264461,200,Los Angeles,For profit - Corporation,154,130,Medicare and Medicaid,False,VISTA COVE CARE CENTER AT LONG BEACH INC,01/01/1967,False,False,False,False,Resident,Yes,1.0,,1.0,,2.0,,3.0,,2.0,,,,2.93423,0.97731,0.51269,1.49,4.42423,0.04385,2.64574,0.76467,1.0512,4.4616,2.72125,1.06081,0.36442,3.99713,18.0,14.0,4.0,112.0,11/23/2015,1.0,0.0,112.0,20.0,20.0,0.0,373.0,08/07/2014,1.0,0.0,373.0,11.0,11.0,0.0,32.0,04/16/2013,1.0,0.0,32.0,185.667,0,3,1,$24375.00,0,1,"3401 CEDAR AVENUE
LONG BEACH, CA 90807
(33.819863, -118.195229)",09/01/2016
1880,055597,MAYWOOD ACRES HEALTHCARE,2641 SOUTH C ST,OXNARD,CA,93033,8054877840,660,Ventura,For profit - Corporation,98,81,Medicare and Medicaid,False,"MILWOOD HEALTHCARE, INC",01/01/1973,False,False,False,False,Both,Yes,4.0,,2.0,,5.0,,4.0,,4.0,,,,2.32531,0.59012,0.75802,1.34815,3.67345,0.06852,2.36703,0.54511,0.86433,3.77647,2.41046,0.89854,0.6553,3.92094,11.0,6.0,5.0,32.0,03/24/2016,1.0,0.0,32.0,27.0,24.0,4.0,188.0,05/29/2015,1.0,0.0,188.0,10.0,10.0,0.0,40.0,04/18/2014,1.0,0.0,40.0,85.333,5,3,0,$0.00,0,0,"2641 SOUTH C ST
OXNARD, CA 93033
(34.175581, -119.181216)",09/01/2016
1881,035140,LIFE CARE CENTER OF TUCSON,6211 NORTH LA CHOLLA BOULEVARD,TUCSON,AZ,85741,5205750900,90,Pima,For profit - Corporation,119,119,Medicare and Medicaid,False,TUCSON MEDICAL INVESTORS LLC,01/07/1987,False,False,False,False,Both,Yes,3.0,,2.0,,5.0,,3.0,,4.0,,,,1.88908,1.01134,0.83824,1.84958,3.73866,0.11975,2.52269,0.69831,1.22023,4.44123,1.83741,1.20207,0.51329,3.39324,3.0,3.0,0.0,12.0,04/14/2016,1.0,0.0,12.0,13.0,13.0,4.0,76.0,01/30/2015,1.0,0.0,76.0,12.0,12.0,3.0,72.0,10/03/2013,1.0,0.0,72.0,43.333,0,9,1,$57558.00,0,1,"6211 NORTH LA CHOLLA BOULEVARD
TUCSON, AZ 85741
(32.319814, -111.012261)",09/01/2016
1882,045416,TIMBERLANE HEALTH AND REHABILITATION,2002 TIMBERWOOD ROAD,EL DORADO,AR,71730,8708638090,690,Union,For profit - Corporation,106,85,Medicare and Medicaid,False,"TIMBERLANE CARE AND REHABILITATION CENTER, LLC",05/05/2006,False,False,False,False,Resident,Yes,4.0,,3.0,,4.0,,4.0,,3.0,,,,2.72412,1.09765,0.53588,1.63353,4.35765,0.21176,2.21031,0.61393,1.05017,3.87442,3.02408,1.48396,0.38128,4.53365,3.0,3.0,0.0,28.0,04/28/2016,1.0,0.0,28.0,2.0,2.0,0.0,24.0,03/26/2015,1.0,0.0,24.0,8.0,6.0,4.0,84.0,06/13/2014,1.0,0.0,84.0,36.0,0,2,1,$6500.00,0,1,"2002 TIMBERWOOD ROAD
EL DORADO, AR 71730
(33.204302, -92.690167)",09/01/2016
1883,035180,"HAVEN OF DOUGLAS, LLC",1400 NORTH SAN ANTONIO,DOUGLAS,AZ,85607,5203647937,10,Cochise,For profit - Corporation,64,44,Medicare and Medicaid,False,HAVEN OF DOUGLAS LLC,11/11/1988,False,False,False,False,Resident,Yes,4.0,,3.0,,5.0,,3.0,,5.0,,,,2.01591,0.22045,1.18295,1.40341,3.41931,0.12955,2.59836,0.67871,0.96655,4.24362,1.90368,0.26959,0.91449,3.24791,6.0,6.0,2.0,24.0,12/03/2015,1.0,0.0,24.0,5.0,5.0,2.0,20.0,09/24/2014,1.0,0.0,20.0,12.0,12.0,0.0,64.0,06/13/2013,1.0,0.0,64.0,29.333,0,5,0,$0.00,0,0,"1400 NORTH SAN
DOUGLAS, AZ 85607
(31.348803, -109.532286)",09/01/2016
1884,056053,COUNTRY VILLA HACIENDA HEALTHCARE CENTER,1311 EAST DATE STREET,SAN BERNARDINO,CA,92404,9098823316,460,San Bernardino,For profit - Partnership,99,97,Medicare and Medicaid,False,"MOUNTAINSIDE OPERATING COMPANY, LLC",06/01/1970,False,False,False,False,Resident,Yes,4.0,,4.0,,3.0,,3.0,,2.0,,,,2.32938,1.08247,0.40722,1.48969,3.81907,0.0634,2.28935,0.59248,1.06664,3.94847,2.49661,1.51642,0.28527,3.8988,4.0,2.0,2.0,20.0,09/11/2015,1.0,0.0,20.0,7.0,5.0,2.0,64.0,09/19/2014,1.0,0.0,64.0,11.0,9.0,2.0,56.0,11/22/2013,1.0,0.0,56.0,40.667,2,3,1,$6750.00,0,1,"1311 EAST DATE STREET
SAN BERNARDINO, CA 92404
(34.14131, -117.258509)",09/01/2016
1885,055476,FIRCREST CONVALESCENT HOSPITAL,7025 CORLINE COURT,SEBASTOPOL,CA,95472,7078237444,590,Sonoma,For profit - Corporation,50,45,Medicare and Medicaid,False,SANDHYA INC.,11/01/1968,False,False,False,False,Resident,Yes,4.0,,2.0,,5.0,,5.0,,5.0,,,,2.68889,0.24,1.48444,1.72444,4.41333,0.09889,2.3071,0.57749,0.84382,3.7284,2.85975,0.34494,1.31447,4.7714,12.0,9.0,4.0,112.0,07/24/2015,1.0,0.0,112.0,9.0,9.0,0.0,84.0,07/11/2014,1.0,0.0,84.0,14.0,14.0,0.0,88.0,08/19/2013,1.0,0.0,88.0,98.667,9,1,0,$0.00,0,0,"7025 CORLINE COURT
SEBASTOPOL, CA 95472
(38.389893, -122.813783)",09/01/2016
1886,045135,MAGNOLIA HEALTH AND REHAB,2642 NORTH DUDNEY ROAD,MAGNOLIA,AR,71753,8702347000,130,Columbia,For profit - Corporation,140,126,Medicare and Medicaid,False,MAGNOLIA HEALTH HOLDINGS LLC,03/01/1989,False,False,False,True,Both,Yes,1.0,,1.0,,1.0,,4.0,,3.0,,,,2.96151,0.96548,0.44405,1.40952,4.37104,0.00437,2.49433,0.58191,0.79706,3.8733,2.91326,1.3771,0.41627,4.54889,10.0,10.0,0.0,84.0,06/24/2016,1.0,0.0,84.0,34.0,33.0,4.0,292.0,07/10/2015,1.0,0.0,292.0,5.0,5.0,0.0,48.0,08/22/2014,1.0,0.0,48.0,147.333,0,2,0,$0.00,0,0,"2642 NORTH DUDNEY ROAD
MAGNOLIA, AR 71753
(33.296268, -93.20905)",09/01/2016
1887,015336,"LUVERNE HEALTH AND REHABILITATION, LLC",142 WEST THIRD STREET,LUVERNE,AL,36049,3343356528,200,Crenshaw,For profit - Corporation,151,144,Medicare and Medicaid,False,"LUVERNE HEALTH AND REHABILITATION, LLC",10/16/1973,False,False,False,False,Both,Yes,4.0,,3.0,,5.0,,3.0,,3.0,,,,2.41285,0.78333,0.49306,1.27639,3.68924,0.03785,2.47793,0.60557,0.85863,3.94213,2.38925,1.07364,0.42907,3.77232,5.0,5.0,0.0,20.0,01/28/2016,1.0,0.0,20.0,5.0,5.0,0.0,28.0,12/18/2014,1.0,0.0,28.0,2.0,2.0,0.0,16.0,03/12/2014,1.0,0.0,16.0,22.0,0,0,0,$0.00,0,0,"142 WEST THIRD STREET
LUVERNE, AL 36049
(31.716316, -86.266136)",09/01/2016
