index,Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Provider Phone Number,Provider SSA County Code,Provider County Name,Ownership Type,Number of Certified Beds,Number of Residents in Certified Beds,Provider Type,Provider Resides in Hospital,Legal Business Name,Date First Approved to Provide Medicare and Medicaid services,Continuing Care Retirement Community,Special Focus Facility,Most Recent Health Inspection More Than 2 Years Ago,Provider Changed Ownership in Last 12 Months,With a Resident and Family Council,Automatic Sprinkler Systems in All Required Areas,Overall Rating,Overall Rating Footnote,Health Inspection Rating,Health Inspection Rating Footnote,QM Rating,QM Rating Footnote,Staffing Rating,Staffing Rating Footnote,RN Staffing Rating,RN Staffing Rating Footnote,Reported Staffing Footnote,Physical Therapist Staffing Footnote,Reported CNA Staffing Hours per Resident per Day,Reported LPN Staffing Hours per Resident per Day,Reported RN Staffing Hours per Resident per Day,Reported Licensed Staffing Hours per Resident per Day,Reported Total Nurse Staffing Hours per Resident per Day,Reported Physical Therapist Staffing Hours per Resident Per Day,Expected CNA Staffing Hours per Resident per Day,Expected LPN Staffing Hours per Resident per Day,Expected RN Staffing Hours per Resident per Day,Expected Total Nurse Staffing Hours per Resident per Day,Adjusted CNA Staffing Hours per Resident per Day,Adjusted LPN Staffing Hours per Resident per Day,Adjusted RN Staffing Hours per Resident per Day,Adjusted Total Nurse Staffing Hours per Resident per Day,Cycle 1 Total Number of Health Deficiencies,Cycle 1 Number of Standard Health Deficiencies,Cycle 1 Number of Complaint Health Deficiencies,Cycle 1 Health Deficiency Score,Cycle 1 Standard Survey Health Date,Cycle 1 Number of Health Revisits,Cycle 1 Health Revisit Score,Cycle 1 Total Health Score,Cycle 2 Total Number of Health Deficiencies,Cycle 2 Number of Standard Health Deficiencies,Cycle 2 Number of Complaint Health Deficiencies,Cycle 2 Health Deficiency Score,Cycle 2 Standard Health Survey Date,Cycle 2 Number of Health Revisits,Cycle 2 Health Revisit Score,Cycle 2 Total Health Score,Cycle 3 Total Number of Health Deficiencies,Cycle 3 Number of Standard Health Deficiencies,Cycle 3 Number of Complaint Health Deficiencies,Cycle 3 Health Deficiency Score,Cycle 3 Standard Health Survey Date,Cycle 3 Number of Health Revisits,Cycle 3 Health Revisit Score,Cycle 3 Total Health Score,Total Weighted Health Survey Score,Number of Facility Reported Incidents,Number of Substantiated Complaints,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,Location,Processing Date
0,015019,MERRY WOOD LODGE CARE AND REHABILITATION CENTER,P O BOX 130,ELMORE,AL,36025,3345678484,250,Elmore,For profit - Corporation,124,102,Medicare and Medicaid,False,SUNBRIDGE HEALTHCARE LLC,01/01/1974,False,False,False,False,Resident,Yes,4.0,,3.0,,3.0,,4.0,,4.0,,,,2.12941,0.74412,0.65637,1.40049,3.5299,0.07696,2.31981,0.56677,0.84256,3.72914,2.25231,1.08972,0.58208,3.81554,1.0,1.0,0.0,0.0,12/17/2015,0.0,0.0,0.0,10.0,3.0,10.0,56.0,10/02/2014,1.0,0.0,56.0,4.0,3.0,1.0,24.0,10/30/2013,1.0,0.0,24.0,22.667,0,1,1,$6692.00,0,1,"130 ELMORE
AL 36025
",09/01/2016
1,015113,RIVER CITY CENTER,1350 FOURTEENTH AVENUE SOUTHEAST,DECATUR,AL,35601,2563556911,510,Morgan,For profit - Corporation,183,168,Medicare and Medicaid,False,SUNBRIDGE HEALTHCARE LLC,10/08/1969,False,False,False,False,Both,Yes,1.0,,1.0,,4.0,,3.0,,4.0,,,,1.56042,0.87202,0.81488,1.6869,3.24732,0.09613,2.27712,0.63626,1.07462,3.988,1.68142,1.13755,0.5666,3.28225,5.0,3.0,2.0,40.0,03/24/2016,2.0,20.0,60.0,5.0,5.0,0.0,36.0,02/13/2015,1.0,0.0,36.0,6.0,2.0,4.0,40.0,05/22/2014,1.0,0.0,40.0,48.667,0,3,1,$6045.00,0,1,"1350 FOURTEENTH AVENUE SOUTHEAST
DECATUR, AL 35601
(34.58636, -86.970399)",09/01/2016
2,015112,MAGNOLIA HAVEN HEALTH AND REHABILITATION CENTER,603 WRIGHT STREET,TUSKEGEE,AL,36083,3347274960,430,Macon,For profit - Corporation,77,77,Medicare and Medicaid,False,MAGNOLIA HAVEN NURSING HOME LLC,09/01/1975,False,False,False,False,Both,Yes,5.0,,4.0,,5.0,,4.0,,4.0,,,,2.20909,0.76429,0.65974,1.42403,3.63312,0.06234,2.43867,0.64053,0.85358,3.93278,2.2227,0.99036,0.57752,3.72376,1.0,1.0,0.0,4.0,03/10/2016,1.0,0.0,4.0,4.0,4.0,0.0,32.0,02/25/2015,1.0,0.0,32.0,1.0,1.0,0.0,16.0,06/26/2014,1.0,0.0,16.0,15.333,0,0,0,$0.00,0,0,"603 WRIGHT STREET
TUSKEGEE, AL 36083
(32.432923, -85.691051)",09/01/2016
3,015114,SHADESCREST HEALTH CARE CENTER,331 WEST 25TH STREET,JASPER,AL,35502,2053849086,630,Walker,For profit - Corporation,107,96,Medicare and Medicaid,False,SHADESCREST HEALTH CARE CENTER,12/29/1970,False,False,False,False,Both,Yes,4.0,,3.0,,2.0,,5.0,,5.0,,,,1.94792,1.36927,2.19323,3.5625,5.51042,0.0099,2.49086,0.59998,0.9203,4.01114,1.91886,1.89421,1.7807,5.53756,2.0,2.0,2.0,4.0,05/05/2016,1.0,0.0,4.0,8.0,8.0,0.0,44.0,03/12/2015,1.0,0.0,44.0,8.0,6.0,4.0,52.0,04/05/2014,1.0,0.0,52.0,25.333,0,3,1,$189763.00,0,1,"331 WEST 25TH STREET
JASPER, AL 35502
(33.826573, -87.279027)",09/01/2016
4,015123,WASHINGTON COUNTY NURSING HOME,14600 ST STEPHENS AVENUE,CHATOM,AL,36518,2518476412,640,Washington,Government - County,88,81,Medicare and Medicaid,True,"WASHINGTON COUNTY HEALTHCARE AUTHORITY, INC",01/01/1975,False,False,False,False,Resident,Yes,4.0,,4.0,,4.0,,4.0,,3.0,,,,3.06111,1.06852,0.5142,1.58272,4.64383,0.01049,2.28603,0.57216,0.77819,3.63638,3.28563,1.55005,0.49372,5.14766,2.0,2.0,0.0,12.0,02/18/2016,1.0,0.0,12.0,3.0,3.0,0.0,12.0,02/12/2015,1.0,0.0,12.0,2.0,2.0,0.0,20.0,07/03/2014,1.0,0.0,20.0,13.333,0,0,0,$0.00,0,0,"14600 ST STEPHENS AVENUE
CHATOM, AL 36518
(31.460032, -88.234524)",09/01/2016
5,015115,"CORDOVA HEALTH AND REHABILITATION, LLC",70 HIGHLAND STREET WEST,CORDOVA,AL,35550,2054839282,630,Walker,For profit - Corporation,114,111,Medicare and Medicaid,False,"CORDOVA HEALTH AND REHABILITATION, LLC",04/01/1971,False,False,False,False,Resident,Yes,2.0,,2.0,,3.0,,3.0,,3.0,,,,2.72072,0.67432,0.48288,1.15721,3.87792,0.01847,2.50379,0.63534,0.93851,4.07763,2.66629,0.88093,0.38445,3.83348,3.0,3.0,0.0,28.0,07/28/2016,0.0,0.0,28.0,8.0,8.0,0.0,44.0,08/06/2015,1.0,0.0,44.0,2.0,2.0,0.0,24.0,09/25/2014,1.0,0.0,24.0,32.667,0,0,0,$0.00,0,0,"70 HIGHLAND STREET WEST
CORDOVA, AL 35550
(33.762149, -87.184514)",09/01/2016
6,015116,SIGNATURE HEALTHCARE OF WHITESBURG GARDENS,105 TEAKWOOD DRIVE SW,HUNTSVILLE,AL,35801,2568815000,440,Madison,For profit - Corporation,159,123,Medicare and Medicaid,False,"LP HUNTSVILLE, LLC",09/01/1972,False,False,False,False,Both,Yes,2.0,,1.0,,4.0,,4.0,,4.0,,,,2.63374,0.72642,0.93008,1.6565,4.29024,0.10732,2.67301,0.68815,1.19384,4.55501,2.41765,0.87616,0.58212,3.7966,6.0,6.0,0.0,44.0,05/19/2016,1.0,0.0,44.0,18.0,12.0,7.0,88.0,04/23/2015,1.0,0.0,88.0,2.0,2.0,1.0,4.0,07/31/2014,1.0,0.0,4.0,52.0,0,1,0,$0.00,0,0,"105 TEAKWOOD DRIVE SW
HUNTSVILLE, AL 35801
(34.697369, -86.570383)",09/01/2016
7,015138,HENDRIX HEALTH AND REHABILITATION,1000 HIGHWAY 33,DOUBLE SPRINGS,AL,35553,2054892136,660,Winston,For profit - Corporation,110,96,Medicare and Medicaid,False,"HENDRIX HEALTH CARE CENTER, INC.",10/01/1979,False,False,False,False,Resident,Yes,5.0,,4.0,,5.0,,2.0,,1.0,,,,2.96615,1.07135,0.23802,1.30938,4.27552,0.02969,2.66327,0.69702,1.01464,4.37494,2.73275,1.27574,0.17528,3.9393,3.0,3.0,0.0,8.0,08/06/2015,1.0,0.0,8.0,6.0,6.0,0.0,28.0,09/18/2014,1.0,0.0,28.0,2.0,2.0,0.0,8.0,08/29/2013,1.0,0.0,8.0,14.667,0,0,0,$0.00,0,0,"1000 HIGHWAY
DOUBLE SPRINGS, AL 35553
(34.163162, -87.409783)",09/01/2016
8,015137,ALICEVILLE MANOR NURSING HOME,703 17TH STREET NORTHWEST,ALICEVILLE,AL,35442,2053736307,530,Pickens,For profit - Corporation,100,79,Medicare and Medicaid,False,Legal Business Name Not Available,01/01/1977,False,False,False,False,Both,Yes,5.0,,5.0,,4.0,,4.0,,4.0,,,,3.91139,1.12848,0.78418,1.91266,5.82405,0.0057,2.25956,0.5812,0.85212,3.69288,4.24746,1.61155,0.68762,6.35714,2.0,2.0,0.0,8.0,07/28/2016,0.0,0.0,8.0,0.0,0.0,0.0,0.0,07/09/2015,0.0,0.0,0.0,2.0,2.0,2.0,8.0,09/05/2014,1.0,0.0,8.0,5.333,0,0,0,$0.00,0,0,"703 17TH STREET NORTHWEST
ALICEVILLE, AL 35442
(33.134382, -88.16865)",09/01/2016
9,015136,FALKVILLE HEALTH CARE CENTER,10 WEST 3RD STREET  PO BOX 409,FALKVILLE,AL,35622,2567845291,510,Morgan,For profit - Corporation,116,102,Medicare and Medicaid,False,USA HEALTHCARE FALKVILLE LLC,05/01/1976,False,False,False,False,,Yes,5.0,,3.0,,5.0,,5.0,,5.0,,,,3.30784,0.7598,0.89804,1.65784,4.96568,0.01324,2.21144,0.57438,0.92414,3.70995,3.67022,1.09794,0.7261,5.39526,3.0,3.0,0.0,24.0,05/26/2016,1.0,0.0,24.0,3.0,3.0,0.0,24.0,04/16/2015,1.0,0.0,24.0,5.0,5.0,3.0,20.0,07/24/2014,1.0,0.0,20.0,23.333,0,1,0,$0.00,0,0,"10 WEST 3RD STREET
FALKVILLE, AL 35622
(34.368669, -86.910173)",09/01/2016
